  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
    70      10   4.92851612e-02   5.10060863e-02   6.75993413e-09   1.18711325e+00   1.71162988e+00   5.19538078e-05
    70      11   2.60428200e-01   2.69793827e-01   2.62901467e-07   1.21598770e+00   1.84301422e+00   2.42973202e-04
    70      12   2.22210980e-01   2.30643376e-01   2.00543390e-07   1.20256810e+00   1.84704987e+00   1.90261852e-04
    70      13   1.44021108e-01   2.33248283e-01   4.26329223e-08   3.27454393e-01   1.03395474e-01   2.08787130e-05
    70      14   2.38758670e-02   3.60669906e-02   6.63119845e-09   3.52484303e-02   1.40988478e-02   5.00897722e-06
    70      15   3.97169378e-04   5.92924407e-04   1.04325496e-10   5.34550368e-04   2.19322175e-04   9.08182855e-08
    71       1   1.25660936e+00   1.21721536e+00   6.93884727e-07   1.69529055e+00   7.06756159e-01   6.27679003e-04
    71       2   3.11195765e-02   2.80221595e-02   2.48904519e-07   1.32176147e+00   7.47077559e-02   5.55236055e-06
    71       3   1.97430044e+00   5.03992666e+00   9.24442966e-07   2.45650392e+00   2.65483236e+01   7.30889406e-04
    71       4   1.43538470e-01   1.06699702e-01   3.90277337e-08   7.87932393e-01   2.97956829e-01   3.18709054e-05
    71       5   7.05458317e-03   5.16896077e-03   1.63411161e-09   4.86157981e-02   9.20221348e-03   2.04482634e-06
    71       6   3.64063560e-04   2.66613956e-04   1.19016574e-10   3.94884389e-03   7.63651153e-04   7.94770388e-08
    71       7   6.61590932e-05   4.84604963e-05   1.79927840e-11   6.83709455e-04   1.28527060e-04   1.55388275e-08
    72       1   7.50306373e-01   4.29833345e-01   2.34683742e-05   1.23516746e+00   2.10804534e+00   1.12890469e-04
    72       2   2.13932681e+00   5.03353537e+00   6.18166079e-06   1.20052262e+00   7.17567112e-02   3.10143022e-04
    72       3   1.98782994e-01   2.06968023e-01   8.01427868e-07   7.47741931e-01   5.43523194e-01   1.43059253e-04
    72       4   7.15046929e-03   9.73584933e-03   8.55776797e-08   1.67474810e-01   1.16319600e+00   1.57155651e-05
    72       5   2.26828074e-03   2.69439365e-03   2.30930597e-08   9.94768582e-02   3.99501627e-01   5.17949555e-06
    72       6   8.42751674e-04   9.63151196e-04   1.03729611e-08   7.44100082e-02   8.12300620e-01   9.19148023e-07
    72       7   7.85097249e-06   9.36171119e-06   6.99848892e-11   5.60483263e-04   2.11798859e-03   1.03572379e-08
    73       1   3.37747083e-01   5.00102494e-01   2.65593718e-05   1.21062025e-01   1.01925510e+00   3.88365069e-05
    73       2   5.11009780e-02   1.03719924e-01   1.76441840e-07   1.26477874e+00   1.22912708e-01   2.21730879e-04
    73       3   2.37851558e-03   4.88790240e-03   2.82476138e-08   4.78704396e+00   1.01071415e-01   2.76382200e-06
    73       4   1.02700409e-04   2.25874072e-04   1.83363043e-10   1.08912962e+00   5.88899964e+00   2.45030675e-07
    73       5   1.69231679e-05   2.76836711e-05   1.24612428e-10   8.02422498e-02   5.34608015e-03   1.92536452e-08
    73       6   3.02456102e-07   7.62619548e-07   9.74885219e-12   4.01271492e-04   8.69282405e-06   5.72539113e-10
    74       1   1.58498737e-01   1.07879652e+00   1.28477078e-05   3.12644962e-01   5.30355431e-01   5.68446039e-05
    74       2   1.28389167e-02   6.12992058e-02   1.22451074e-07   9.18537415e-01   8.76011925e-02   3.09376249e-07
    74       3   1.34864532e-03   6.20415230e-03   1.59945920e-08   8.27221603e-01   1.25927081e-02   3.09045806e-07
    74       4   1.07100486e-05   3.94477612e-05   1.39712270e-10   9.26870768e-02   1.85884960e-01   2.87509399e-08
    74       5   8.26139936e-06   4.50785593e-05   5.81311197e-11   8.52897804e-02   2.73909739e-01   3.83199121e-08
    74       6   9.24010110e-06   4.78687124e-05   2.11524689e-11   8.54024111e-02   2.67247008e-01   7.50338955e-10
    74       7   2.79158536e-06   1.58495695e-05   1.09473165e-11   8.45536983e-02   2.70781813e-01   8.40257826e-10
    74       8   1.64484787e-06   7.81113928e-06   2.43674021e-11   8.31253164e-02   2.65975516e-01   3.41554177e-09
    74       9   1.22679623e-06   6.77371409e-06   2.62795412e-12   8.22283135e-02   2.63085536e-01   1.01616008e-09
    74      10   1.12171841e-06   6.23759403e-06   2.55928387e-12   8.08913510e-02   2.58771722e-01   6.12869805e-10
    74      11   1.14549449e-06   6.34509219e-06   2.47688863e-12   8.10682184e-02   2.59337184e-01   6.57095379e-10
    74      12   1.36003404e-06   7.36717941e-06   1.76290805e-12   8.12439553e-02   2.59879825e-01   9.11169406e-10
    74      13   1.57608721e-06   8.50936687e-06   5.53925704e-13   8.19978207e-02   2.62278471e-01   2.33436466e-09
    74      14   1.66087580e-06   9.01290058e-06   1.61827951e-12   8.21880517e-02   2.62891415e-01   2.41465592e-09
    74      15   1.95458250e-06   1.03266434e-05   1.19503906e-12   7.86529659e-02   2.51588186e-01   1.45494991e-09
    74      16   3.25358552e-06   1.70241106e-05   1.03243497e-12   7.25000862e-02   2.31892670e-01   9.83075578e-11
    74      17   2.92055470e-06   1.52740828e-05   3.47757399e-12   7.37875858e-02   2.36012132e-01   3.07240061e-10
    74      18   2.38229688e-06   1.24595262e-05   2.06751920e-12   7.63329947e-02   2.44157250e-01   1.56398471e-09
    74      19   1.75193909e-05   9.27738568e-05   1.36813991e-12   3.46058551e-02   1.10670819e-01   1.13980679e-08
    74      20   1.87959024e-05   9.97017308e-05   8.67703041e-13   3.33593715e-02   1.06687452e-01   1.22322176e-08
    74      21   1.94150607e-05   1.03030707e-04   3.71292600e-12   3.18900544e-02   1.02009229e-01   1.49395508e-08
    74      22   2.01279143e-05   1.06838339e-04   6.40806978e-12   3.11438945e-02   9.96225165e-02   1.55795782e-08
    74      23   2.27694926e-05   1.20974168e-04   1.11682346e-11   2.67751777e-02   8.56945692e-02   2.00022970e-08
    74      24   2.87769342e-05   1.53795111e-04   2.34677499e-11   6.67324499e-03   2.14088263e-02   2.96356700e-08
    74      25   2.69944535e-05   1.44528056e-04   1.45402666e-11   9.77409947e-04   3.04503154e-03   2.92169693e-08
    75       1   1.09051944e-01   6.17461656e-01   4.14950982e-06   2.38180049e-01   0.00000000e+00   7.14825801e-05
    75       2   2.19722372e-02   3.72797731e-02   4.57801468e-07   1.21486259e+00   1.25609863e+00   2.29416725e-06
    75       3   1.27453001e-03   2.44457207e-03   3.22605422e-08   1.33398864e+00   1.30575162e+00   2.81850670e-06
    75       4   1.39100275e-03   3.60139955e-03   8.22470920e-09   1.37962290e+00   1.31844402e+00   6.48080846e-07
    75       5   1.73203179e-03   2.56006479e-02   6.73747636e-09   1.07675924e+00   1.21746468e+00   5.53250677e-07
    75       6   9.12192586e-04   2.71046520e-03   1.65504173e-08   1.40692840e+00   1.32566918e+00   2.04256978e-07
    75       7   9.34636689e-04   3.00532770e-03   1.74764781e-08   1.43494801e+00   1.33484706e+00   4.00677558e-07
    75       8   1.93887262e-03   3.48489253e-03   2.72828602e-08   1.21865305e+00   1.26730502e+00   2.20108620e-07
    75       9   5.91363667e-04   4.90840136e-03   4.71171372e-09   4.33098578e-01   7.89981509e-01   7.79836169e-07
    75      10   2.45113063e-04   1.36833328e-03   2.86197838e-09   2.20079345e+00   1.48732792e+00   1.84810014e-07
    75      11   6.84655276e-05   5.36659038e-04   5.95395933e-10   7.78843716e-02   3.27713002e-01   1.55390890e-08
    75      12   6.88359647e-05   5.42261162e-04   6.05781709e-10   6.82483887e-02   2.87243817e-01   1.84229042e-08
