  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   365    1952       2       1      14       1       0
   366    1954       2       1      14       1       0
   367    1956       2       1      14       1       0
   368    1958       2       1      14       1       0
   369    1960       2       1      14       1       0
   370    1962       2       1      14       1       0
   371    1964       2       1      13       2       0
   372    1966       2       1      13       1       0
   373    1968       2       1      13       1       0
   374    1970       2       1      13       1       0
   375    1972       2       1      14       0       0
   376    1974       2       1      14       1       0
   377    1976       2       1      15       0       0
   378    1978       2       1      14       2       0
   379    1980       2       1      14       1       0
   380    1982       2       1      13       2       0
   381    1984       2       1      13       1       0
   382    1986       2       1      13       1       0
   383    1988       2       1      13       1       0
   384    1990       2       1      13       1       0
   385    1992       2       1      13       1       0
   386    1994       2       1      13       1       0
   387    1996       2       1      13       1       0
   388    1998       2       1      13       1       0
   389    2000       2       1      14       0       0
   390    2002       2       1      14       1       0
   391    2004       2       1      14       1       0
   392    2006       2       1      14       1       0
   393    2008       2       1      15       0       0
   394    2010       2       1      14       2       0
   395    2012       2       1      14       1       0
   396    2014       2       1      15       0       0
   397    2016       2       1      14       2       0
   398    2018       2       1      14       1       0
   399    2020       2       1      15       0       0
   400    2022       2       1      15       1       0
   401    2024       2       1      14       2       0
   402    2026       2       1      15       0       0
   403    2028       2       1      15       1       0
   404    2030       2       1      15       1       0
   405    2032       2       1      15       0       1
   406    2034       2       1      15       1       0
   407    2036       2       1      15       1       0
   408    2038       2       1      14       2       0
   409    2040       2       1      14       1       0
   410    2042       2       1      14       1       0
   411    2044       2       1      14       1       0
   412    2046       2       1      14       1       0
   413    2048       2       1      14       1       0
   414    2050       2       1      14       1       0
   415    2052       2       1      14       1       0
   416    2054       2       1      14       1       0
   417    2056       2       1      14       1       0
   418    2058       2       1      14       1       0
   419    2060       2       1      14       1       0
   420    2062       2       1      14       1       0
   421    2064       2       1      14       1       0
   422    2066       2       1      14       1       0
   423    2068       2       1      14       1       0
   424    2070       2       1      14       1       0
   425    2072       2       1      15       0       0
   426    2074       2       1      14       2       0
   427    2076       2       1      14       1       0
   428    2078       2       1      14       1       0
   429    2080       2       1      14       1       0
   430    2082       2       1      13       2       0
   431    2084       2       1      13       1       0
   432    2086       2       1      13       1       0
   433    2088       2       1      13       1       0
   434    2090       2       1      13       1       0
   435    2092       2       1      13       1       0
